Sesion,Valor del carrito (ARS),Etapa alcanzada,Abandonos previos del cliente,Productos en el carrito,PRIORIDAD ASIGNADA (Alta/Media/Baja)
S-01,120000,cart,0,"1x SSD 1TB NVMe, 1x Webcam 1080p",Alta
S-02,40000,cart,5,2x Mouse Pad XL,Baja
S-03,160000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",Media
S-04,105000,cart,2,"1x SSD 1TB NVMe, 1x Mouse Pad XL",Media
S-05,200000,cart,4,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Media
S-06,200000,cart,0,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Alta
S-07,128000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p, 2x Cable USB-C 2m",Media
S-08,64000,cart,2,"3x Mouse Pad XL, 1x Cable USB-C 2m",Baja
S-09,200000,cart,2,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Alta
S-10,80000,cart,2,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",Media
S-11,200000,cart,1,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Alta
S-12,160000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",Media
S-13,110000,cart,3,"1x Auriculares Bluetooth Pro, 1x Headset Gamer 7.1",Media
S-14,64000,cart,1,"3x Mouse Pad XL, 1x Cable USB-C 2m",Baja
S-15,90000,cart,2,2x Auriculares Bluetooth Pro,Media
S-16,80000,cart,5,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",Baja
S-17,130000,cart,2,"1x SSD 1TB NVMe, 1x Auriculares Bluetooth Pro",Alta
S-18,80000,cart,1,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",Media
S-19,40000,cart,3,2x Mouse Pad XL,Baja
S-20,160000,cart,0,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",Alta
S-21,69000,cart,0,"1x Headset Gamer 7.1, 1x Cable USB-C 2m",Media
S-22,180000,cart,1,1x Monitor 27 pulgadas Full HD,Alta
S-23,200000,cart,5,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Media
S-24,120000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p",Media
S-25,120000,cart,4,"1x SSD 1TB NVMe, 1x Webcam 1080p",Media
S-26,100000,cart,1,"1x Auriculares Bluetooth Pro, 1x Teclado Mecanico RGB",Media
S-27,40000,cart,2,2x Mouse Pad XL,Baja
S-28,24000,cart,0,"1x Mouse Pad XL, 1x Cable USB-C 2m",Baja
S-29,59000,cart,1,"1x Teclado Mecanico RGB, 1x Cable USB-C 2m",Media
S-30,200000,cart,5,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Media
S-31,40000,cart,1,2x Mouse Pad XL,Baja
S-32,80000,cart,0,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",Media
S-33,68000,cart,2,"3x Mouse Pad XL, 2x Cable USB-C 2m",Baja
S-34,160000,cart,3,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",Media
S-35,40000,cart,0,2x Mouse Pad XL,Baja
S-36,140000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB",Media
S-37,120000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p",Media
S-38,85000,cart,2,1x SSD 1TB NVMe,Media
S-39,76000,cart,2,"3x Mouse Pad XL, 4x Cable USB-C 2m",Baja
S-40,72000,cart,2,"3x Mouse Pad XL, 3x Cable USB-C 2m",Baja
S-41,120000,cart,3,"1x SSD 1TB NVMe, 1x Webcam 1080p",Media
S-42,124000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p, 1x Cable USB-C 2m",Media
S-43,80000,cart,2,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",Media
S-44,116000,cart,5,"1x Webcam 1080p, 1x Auriculares Bluetooth Pro, 1x Mouse Pad XL, 4x Cable USB-C 2m",Baja
S-45,120000,cart,1,"1x SSD 1TB NVMe, 1x Webcam 1080p",Alta
S-46,40000,cart,0,2x Mouse Pad XL,Baja
S-47,160000,cart,2,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",Alta
S-48,49000,cart,3,"1x Auriculares Bluetooth Pro, 1x Cable USB-C 2m",Baja
S-49,112000,cart,5,"1x Webcam 1080p, 1x Auriculares Bluetooth Pro, 1x Mouse Pad XL, 3x Cable USB-C 2m",Baja
S-50,55000,cart,4,1x Teclado Mecanico RGB,Baja
S-51,150000,cart,3,"1x SSD 1TB NVMe, 1x Headset Gamer 7.1",Media
S-52,80000,cart,3,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",Media
S-53,200000,cart,3,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",Alta
S-54,120000,cart,2,"1x SSD 1TB NVMe, 1x Webcam 1080p",Media
S-55,160000,cart,1,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",Alta
